gene,DK20193B_01,DK20193B_02,DK20193B_03,DK20193B_04,DK20193B_05,DK20193B_06,DK20193B_07,DK20193B_08,DK20193B_09,DK20193B_10,DK20193B_11
PCF11,47.4064008887848,60.1345211067308,61.2720080558285,69.0158036143165,62.683506368521,38.1432173508944,53.9595724318945,50.4861899103272,61.1011159592595,57.0575776015386,37.9535359484495
PCGEM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCGF1,15.4669269456062,8.42722543444255,10.7287901148196,18.0783759592154,17.3361778500896,5.39059689189364,18.4707992484815,16.2899390013717,2.56192742652125,7.35436767957041,8.45333325177649
PCGF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26181367133909,0.0,0.0
PCGF3,5.69820909755987,9.52106504027943,15.4152191735944,9.51471362292568,18.7348024782036,6.156486024143,10.8877970846612,5.82994796215094,11.7036912331288,9.75398732257922,5.29433306538149
PCGF5,19.7759389361436,16.9573931007328,19.902024805579,28.5823899118808,16.3519334385562,16.1010783760857,17.2930849525159,18.7307809759566,17.0764340875482,19.8855813479111,14.0863463382775
PCGF6,2.0946241872525,0.0,2.17943583946783,4.19705537964105,1.17388468850383,0.0,1.66761774978816,1.89092693596961,2.08170963984596,0.0,0.858600888577299
PCID2,15.4962481341287,19.2987456394438,33.3990795588588,18.8519395073687,37.2193770904768,14.4664715167524,22.0307321210165,19.9846780436598,15.4007049658747,15.7892348760445,19.9634879590532
PCIF1,2.45670333322568,6.24654788513728,3.40823416690972,4.92256319947381,5.50721498323324,3.42488133524238,3.9117681437878,3.69632456803316,5.69696484537088,2.33627528670785,5.37077133668268
PCK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713102413976676
PCK2,8.88400410781016,6.45398668098474,9.24371878658481,11.8674135628904,17.7025383287475,8.77282051235691,8.64468795484019,12.4756422106871,13.7343564995755,7.74446621878686,10.5202196787218
PCLO,0.115117604928358,0.0,0.119778734276746,0.0,0.0,0.0,0.0916499305507593,0.0,0.0,0.0,0.0943749990894804
PCM1,63.3153888836957,65.4700446336626,67.0812108559265,62.2758387895834,54.9090457442435,40.4694781502581,64.0218699191456,63.4163049585694,62.2360535593211,50.5975693858482,47.3602449175664
