gene,H10,H1,H2,H3,H4,H5,H6,H7,H8,H9
MZF1-AS1,1.460144561,1.912820985,2.125877944,1.676380721,1.45275755,1.793559598,1.581205002,1.585072363,1.616245805,1.9264486
AC090971.2,0.0,0.0,0.426612964,0.406494933,1.207782747,0.802908731,0.836544821,1.317785651,0.0,0.415228718
LRRC37A2,3.612437047,1.99188744,6.827322922,6.689477007,4.345944137,4.879132321,5.14668228,11.10833227,4.260228728,5.171920754
INTS6-AS1,0.924751471,1.044309981,0.683635816,0.945576598,0.520279412,0.871594619,0.951351398,0.681198745,0.994534903,0.880035728
PHBP9,30.68846605,21.66403942,24.26264275,18.59529548,10.45281069,18.86105601,14.99696715,26.61128357,21.143879,25.15531069
AC010616.1,3.841746036,4.958210912,8.480934331,5.387329382,1.38331229,6.207280446,4.722170717,5.713786678,6.505711085,3.872537321
RPS15AP29,2.280899504,0.525671545,1.087863058,1.036562079,1.539923003,0.0,1.066594647,1.120117804,0.0,0.529416615
ARHGAP33,6.851371133,6.515928653,6.494087457,6.306081091,2.849540664,5.838642389,4.298822531,5.451523911,6.093688036,5.3948157
SCNN1A,1.086881996,1.145097987,1.073792671,1.19956129,1.118165103,1.080155466,0.943889068,0.876879152,1.150346123,0.97305981
ZBTB25,13.18665426,14.78706447,15.47863048,11.78200417,5.926816801,15.70428812,10.34411032,16.41386135,13.05175048,12.32953243
STK38L,35.42822193,31.80224761,32.36800764,32.80508285,33.56731476,32.18946858,36.89488112,32.83807403,36.25102342,27.21523851
SOX12,5.221929749,5.949284869,6.954804864,6.402953665,3.0598902,7.694397495,7.003126838,6.870700998,5.557118306,4.848221272
SNORA2C,0.0,3.069614859,6.352485011,4.539687939,2.997417037,5.977860626,3.114144954,4.905625417,3.183156966,3.091483885
UBA7,84.21782783,95.10611332,95.77976726,88.66592556,60.78465303,101.1559123,80.07664425,125.7486097,100.5408873,96.34218846
KIF1BP,4.265708643,5.243221861,4.587614656,4.105196354,3.614047385,3.753973716,3.715676254,5.134386705,6.07682991,3.688637951
IL13RA1,283.0767965,202.7622543,204.2375161,232.3236557,263.1226143,176.8264029,293.4167467,209.4258964,218.2338188,189.3603687
ZFP30,1.598553838,1.719263196,1.383654506,0.860999002,0.426368471,2.178951534,1.245860068,1.366529183,1.330067989,1.346731429
AC053527.1,1.997868178,1.227845944,0.952872752,0.907937588,0.599483407,0.597786063,1.245657982,2.616333556,1.591578483,2.16403872
PABPC1P3,46.21430367,25.19558602,18.96057618,18.96976354,30.41823215,21.8569599,19.98412628,29.28412558,19.95194464,27.22054929
PLSCR1,66.76317107,70.28369314,38.72310331,70.0134036,43.462893,78.78680932,48.94714122,114.7526042,106.4560996,61.44752405
SLC6A8,5.354035192,3.265732152,3.225573487,2.744163641,7.609926593,2.565595231,3.350756215,2.135063939,2.501413059,4.821372635
ERLIN1,54.03333972,36.56059898,14.89540366,37.53120791,43.93478404,18.88479975,19.3704098,22.78096936,36.53883057,30.87631707
TRAJ33,0.0,3.688923121,11.45119008,3.637059927,0.0,14.36784045,3.742437357,7.860475814,7.650745691,3.715204318
HEMGN,17.16917966,6.714782505,6.352485011,14.84856263,24.16667486,6.911901349,13.42975011,5.518828594,6.565261243,10.04732263
HARS2,30.17484689,23.85946672,32.52766121,25.02911393,30.2546493,31.21499298,29.4252785,33.31138184,27.26311032,26.99042492
AC146944.3,1.84439313,2.833808866,1.172898176,0.558793574,0.553431448,3.863051442,2.299934548,1.811511273,1.175451494,1.712398756
UPF3B,14.88025966,16.51574344,19.20796831,15.20694774,11.19580502,17.7429539,15.02441015,24.21286781,22.50526069,19.31399791
PROSER3,7.534502865,7.610481033,7.427798974,5.963467629,5.906242801,6.180760195,6.405973855,7.187732389,5.720827859,7.162646163
HYAL1,1.404767928,0.817900621,0.916837585,0.806401618,0.732108181,1.194603266,0.691471408,0.726170375,0.565435986,1.098303513
IVNS1ABP,186.7481037,169.432759,92.85456306,172.0011051,157.4934589,108.0530768,117.2942519,144.8057793,176.1153458,221.180888
SEMA3F-AS1,20.26434961,16.9697969,17.63304652,14.97373502,15.66554428,14.8574871,15.76925283,22.56188455,16.56234672,18.31145974
IGKV3D-20,3.587931803,8.977761213,0.977854434,4.658705975,1.384200452,4.140843906,2.876210283,1.510271196,11.26980629,3.331160726
OLAH,1.350786508,0.177892232,0.184071583,0.263086822,0.347416357,0.0,0.541418602,0.947646196,0.645653031,0.0895798
TRIM51BP,7.384810755,1.083061314,6.724098372,4.271337487,1.359755411,1.807873964,1.098772999,2.307821817,1.92535322,2.649030894
AL034550.2,0.901541306,2.018388766,0.859970797,1.40471428,1.275298553,1.271687742,1.686315647,1.264955171,0.861842894,1.79361925
CHTF18,4.163913901,5.935574575,7.465726869,6.938447996,2.950044067,4.845138895,4.615419702,6.475326045,4.643987115,5.297745711
ERGIC2,18.3223647,16.13286512,16.24512291,16.61773055,16.42302596,20.24223042,20.46777918,17.68809439,22.79268239,15.88431589
AL160006.1,4.05757739,3.491177242,4.799395844,4.573067997,3.311662372,3.836479219,3.744212707,4.091511901,4.137500041,3.86765459
AIM2,21.54318101,15.59623153,16.48629181,16.15134083,11.2850992,17.48061699,11.72457296,29.52711819,41.18909993,12.20426776
RNU6-416P,2.214465538,2.041442892,2.112355453,0.0,0.0,0.0,4.142115133,0.0,0.0,0.0
USP53,5.916977792,28.66339569,7.847179548,6.644406299,2.646004379,7.144543927,5.997921361,18.61551429,7.809522672,5.971996632
AC092139.2,1.885040912,0.868878586,2.247650946,2.784154345,2.333216671,0.634530144,0.881483179,2.777151579,2.252543927,2.843973554
DMTF1,51.39714077,51.28884095,60.53310422,46.03273458,31.72401641,56.24581569,47.86480808,67.1095322,55.10779231,53.8580352
EDN1,2.465837301,5.062979005,2.45905163,2.648708999,2.017917121,2.61586481,2.201325561,3.412643922,3.643033206,3.642178189
MTMR3,13.45092709,10.59517725,10.76548316,10.73929813,15.40493172,11.1643474,11.97670653,12.60033559,13.12284826,11.0128065
U47924.2,0.207921559,1.341732293,1.388339363,0.94490618,0.748671165,1.306464982,1.166739814,1.22528839,0.795063818,0.77216644
RF00019,32.27687977,45.62432275,55.41943881,25.42510761,44.55123153,56.01424591,60.37328189,48.60888581,47.31192264,41.95376952
TSC2,15.17976301,15.4997256,16.80022728,14.42559732,10.16525222,12.45918912,12.82500882,16.23257294,12.71024525,13.98270985
TMEM14EP,0.527985996,0.648977216,0.335760203,0.639853135,0.158428292,0.315959454,0.493793818,1.2100038,0.67298226,0.98040114
CEP126,2.116327216,2.310362057,2.57655272,1.999472696,0.726940416,1.749715645,1.823016122,2.516196751,1.943276329,3.309257808
IGKV1-27,12.53897633,17.61412506,10.8216744,16.82378244,1.07498988,25.19073598,13.4022364,17.59347335,51.94295536,12.7503478
AC135782.3,0.758493897,1.198680957,1.136959016,0.393942833,0.585243897,1.069909259,0.709374112,0.744971461,0.932264261,0.905415589
AP000787.1,1.886458236,2.45049893,2.821900414,1.870487963,1.813944389,2.424573076,2.365755044,2.568691204,2.459168258,2.786403239
AL606491.1,3.305651455,3.482710027,4.504608936,2.575309514,1.700398071,4.662855054,1.324962294,1.855267583,2.708649095,1.753761045
RNVU1-6,2.781584761,7.692754312,14.59328493,11.37690087,2.503939842,4.993700645,2.601450358,16.39196786,11.96595286,5.16504015
NOP56,32.57769594,43.79534243,45.66827141,31.82978506,20.36638907,41.44468887,36.02719696,45.70985784,47.39752876,38.37468315
LINC00852,11.67930469,12.3501146,9.666253076,14.51811346,10.51353054,14.33808777,10.7623255,12.9893179,11.16501894,11.9597127
ELOVL5,275.9451721,227.0879015,228.5853349,229.3865939,257.2865498,233.6300162,257.6275032,248.8758991,270.2561206,224.1516349
GNG8,2.111943985,0.0,1.007280609,2.879339109,0.0,0.947878363,0.0,1.037146114,5.047366949,1.960802279
LCLAT1,3.792901928,4.307751384,3.820617897,4.24718798,2.949965577,4.194522532,4.994563199,4.619349729,3.21978635,4.451128122
ZFP69B,1.688896749,2.048603058,3.39162294,1.85821729,1.440302107,1.356433885,2.161454467,1.484177916,2.549254702,2.640893483
METTL3,30.89974758,35.30188022,35.11750394,26.63474648,18.04152526,31.47454283,27.11527084,35.54716114,31.84569047,29.59168797
DHDH,1.286221525,1.778587933,0.817942149,0.974212481,0.192972807,1.539411477,0.601463147,1.894936134,1.434514817,0.597086408
SEMA4A,92.03097687,91.17540424,61.98457655,63.80727731,76.23426237,62.80439608,91.6789373,64.28559717,116.0916761,62.01938551
AC027544.1,5.26766629,6.312914624,5.024771631,8.139286535,7.112808327,4.255601704,4.433880749,9.31275772,2.517855106,10.2704378
